Wochentag;Datum;Startzeit;Tage Saison;Max Kap;davon freie Kap;Auslastung %;Gesamt;MGL Gesa.;Gäste;Jugend;MGL 18-40;MGL 40-50;MGL 50-65;MGL 65+;Sperrung.;Internet
So;18.04.21;11:00 - 11:10;;4;0;1;4;4;0;1;0;1;1;1;0;0
So;18.04.21;11:30 - 11:40;;4;0;1;4;4;0;0;0;1;3;0;0;4
So;18.04.21;15:30 - 15:40;;4;0;1;4;4;0;0;2;0;2;0;0;4
Mo;19.04.21;12:40 - 12:50;;4;0;1;4;4;0;0;0;0;0;4;0;4
Di;20.04.21;00:00 - 06:00;;4;0;1;4;4;0;0;0;0;0;4;0;0
Di;20.04.21;14:40 - 14:50;;4;0;1;4;4;0;0;0;0;0;4;0;4
Mi;21.04.21;13:20 - 13:30;;4;0;1;4;4;0;0;0;0;2;2;0;0
Mi;21.04.21;13:40 - 13:50;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;21.04.21;14:10 - 14:20;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;21.04.21;17:00 - 17:10;;4;0;1;4;4;0;0;0;1;3;0;0;4
Do;22.04.21;10:10 - 10:20;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;22.04.21;10:40 - 10:50;;4;0;1;4;3;1;0;0;0;0;3;0;0
Do;22.04.21;11:20 - 11:30;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;22.04.21;11:30 - 11:40;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;22.04.21;11:40 - 11:50;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;22.04.21;11:50 - 12:00;;4;0;1;4;4;0;0;0;0;0;4;0;0
Fr;23.04.21;11:50 - 12:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
Fr;23.04.21;12:10 - 12:20;;4;0;1;4;3;1;0;0;0;0;3;0;3
Fr;23.04.21;14:50 - 15:00;;4;0;1;4;4;0;0;2;0;1;1;0;3
Fr;23.04.21;18:10 - 18:20;;4;0;1;4;4;0;2;0;2;0;0;0;4
Sa;24.04.21;10:10 - 10:20;;4;0;1;4;4;0;3;0;1;0;0;0;2
Sa;24.04.21;10:50 - 11:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
Sa;24.04.21;11:00 - 11:10;;4;0;1;4;4;0;0;0;0;0;4;0;2
Sa;24.04.21;12:40 - 12:50;;4;0;1;4;4;0;0;1;0;3;0;0;4
Sa;24.04.21;14:10 - 14:20;;4;0;1;4;4;0;0;0;1;3;0;0;4
Sa;24.04.21;15:00 - 15:10;;4;0;1;4;4;0;1;1;0;2;0;0;3
Sa;24.04.21;15:40 - 15:50;;4;0;1;4;4;0;0;2;0;2;0;0;4
Sa;24.04.21;18:10 - 18:20;;4;0;1;4;4;0;2;0;2;0;0;0;4
So;25.04.21;10:10 - 10:20;;4;0;1;4;4;0;0;0;0;2;2;0;4
So;25.04.21;10:50 - 11:00;;4;0;1;4;4;0;0;0;0;1;3;0;4
So;25.04.21;11:30 - 11:40;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;25.04.21;12:20 - 12:30;;4;0;1;4;4;0;0;1;0;3;0;0;4
So;25.04.21;15:00 - 15:10;;4;0;1;4;4;0;1;1;1;1;0;0;3
